tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,_gen_intent
1,cust_1000,True,Tue Jan 30 16:00:00 +0000 2024,"@BrandHelp billed me the wrong amount for #126225, can someone check this",2,,billing_charge_dispute
2,BrandHelp,False,Tue Jan 30 16:15:00 +0000 2024,"Hi there, sorry to hear that! Please DM us your order number and email on file so we can look into this. ^JS",3,1,billing_charge_dispute
3,cust_1000,True,Tue Jan 30 16:25:00 +0000 2024,"DMd you, order # is 126225",4,2,billing_charge_dispute
4,BrandHelp,False,Tue Jan 30 16:40:00 +0000 2024,"We found the duplicate charge and issued a refund for $18.11, you should see it in 3-5 business days. ^JS",,3,billing_charge_dispute
5,cust_1001,True,Sun Jun 02 07:00:00 +0000 2024,"got order 127824 from BrandHelp today and its defective, doesn't even turn on",6,,product_defect_damaged
6,BrandHelp,False,Sun Jun 02 07:15:00 +0000 2024,We're sorry for the trouble! Send us a DM with your order # and we'll get this sorted right away. ^JS,7,5,product_defect_damaged
7,cust_1001,True,Sun Jun 02 07:25:00 +0000 2024,"DMd you, order # is 127824",8,6,product_defect_damaged
8,BrandHelp,False,Sun Jun 02 07:40:00 +0000 2024,So sorry about that! We've shipped a free replacement and you can keep or discard the damaged item. ^JS,,7,product_defect_damaged
9,cust_1002,True,Sat Apr 27 09:00:00 +0000 2024,"@BrandHelp requested a refund on 263032 days ago and nothing, this is ridiculous",10,,refund_return
10,BrandHelp,False,Sat Apr 27 09:15:00 +0000 2024,That's not the experience we want for you. Can you DM your order number so we can investigate? ^JS,11,9,refund_return
11,cust_1002,True,Sat Apr 27 09:25:00 +0000 2024,"DMd you, order # is 263032",12,10,refund_return
12,BrandHelp,False,Sat Apr 27 09:40:00 +0000 2024,"We've processed your refund of $108.58 back to your original payment method, please allow 3-5 business days. ^JS",,11,refund_return
13,cust_1003,True,Tue Jul 16 01:00:00 +0000 2024,"@BrandHelp just a generally bad experience today, thinking of switching brands",14,,general_complaint_other
14,BrandHelp,False,Tue Jul 16 01:15:00 +0000 2024,"Thanks for flagging this, we'd like to help. Please DM your order # and account email. ^JS",15,13,general_complaint_other
15,cust_1003,True,Tue Jul 16 01:25:00 +0000 2024,"DMd you, order # is 496922",16,14,general_complaint_other
16,BrandHelp,False,Tue Jul 16 01:40:00 +0000 2024,"We're really sorry to hear this and have shared your feedback with the team, we'd love another chance to make it right. ^JS",,15,general_complaint_other
17,cust_1004,True,Sun Feb 25 12:00:00 +0000 2024,"@BrandHelp i returned item 183667 2 weeks ago still no refund, whats going on",18,,refund_return
18,BrandHelp,False,Sun Feb 25 12:15:00 +0000 2024,"Hi there, sorry to hear that! Please DM us your order number and email on file so we can look into this. ^KM",19,17,refund_return
19,cust_1004,True,Sun Feb 25 12:25:00 +0000 2024,"DMd you, order # is 183667",20,18,refund_return
20,BrandHelp,False,Sun Feb 25 12:40:00 +0000 2024,"We've processed your refund of $100.34 back to your original payment method, please allow 3-5 business days. ^KM",,19,refund_return
21,cust_1005,True,Tue Apr 02 03:00:00 +0000 2024,"hey @BrandHelp app won't let me sign in, tried resetting twice",22,,account_login_access
22,BrandHelp,False,Tue Apr 02 03:15:00 +0000 2024,We're sorry for the trouble! Send us a DM with your order # and we'll get this sorted right away. ^KM,,21,account_login_access
23,cust_1006,True,Tue Jan 23 14:00:00 +0000 2024,site is down for anyone else or just me? @BrandHelp,24,,app_website_technical
24,BrandHelp,False,Tue Jan 23 14:15:00 +0000 2024,That's not the experience we want for you. Can you DM your order number so we can investigate? ^AR,25,23,app_website_technical
25,cust_1006,True,Tue Jan 23 14:25:00 +0000 2024,"DMd you, order # is 913694",26,24,app_website_technical
26,BrandHelp,False,Tue Jan 23 14:40:00 +0000 2024,"Thanks for reporting this bug! Our engineering team pushed a fix, please update the app and try again. ^AR",,25,app_website_technical
27,cust_1007,True,Sat Mar 30 16:00:00 +0000 2024,site is down for anyone else or just me? @BrandHelp,28,,app_website_technical
28,BrandHelp,False,Sat Mar 30 16:15:00 +0000 2024,"Thanks for flagging this, we'd like to help. Please DM your order # and account email. ^TL",29,27,app_website_technical
29,cust_1007,True,Sat Mar 30 16:25:00 +0000 2024,"DMd you, order # is 774079",30,28,app_website_technical
30,BrandHelp,False,Sat Mar 30 16:40:00 +0000 2024,"Thanks for reporting this bug! Our engineering team pushed a fix, please update the app and try again. ^TL",,29,app_website_technical
31,cust_1008,True,Tue Aug 20 06:00:00 +0000 2024,@BrandHelp love the product but the whole ordering experience was a mess 🙄,32,,general_complaint_other
32,BrandHelp,False,Tue Aug 20 06:15:00 +0000 2024,"Hi there, sorry to hear that! Please DM us your order number and email on file so we can look into this. ^JS",33,31,general_complaint_other
33,cust_1008,True,Tue Aug 20 06:25:00 +0000 2024,"DMd you, order # is 245051",34,32,general_complaint_other
34,BrandHelp,False,Tue Aug 20 06:40:00 +0000 2024,"We're really sorry to hear this and have shared your feedback with the team, we'd love another chance to make it right. ^JS",,33,general_complaint_other
35,cust_1009,True,Mon Apr 01 01:00:00 +0000 2024,"@BrandHelp the item from order #363626 arrived broken, whole box was crushed",36,,product_defect_damaged
36,BrandHelp,False,Mon Apr 01 01:15:00 +0000 2024,We're sorry for the trouble! Send us a DM with your order # and we'll get this sorted right away. ^AR,37,35,product_defect_damaged
37,cust_1009,True,Mon Apr 01 01:25:00 +0000 2024,"DMd you, order # is 363626",38,36,product_defect_damaged
38,BrandHelp,False,Mon Apr 01 01:40:00 +0000 2024,So sorry about that! We've shipped a free replacement and you can keep or discard the damaged item. ^AR,,37,product_defect_damaged
39,cust_1010,True,Tue Feb 06 07:00:00 +0000 2024,"@BrandHelp product 857168 stopped working after 2 days, really disappointed",40,,product_defect_damaged
40,BrandHelp,False,Tue Feb 06 07:15:00 +0000 2024,That's not the experience we want for you. Can you DM your order number so we can investigate? ^AR,,39,product_defect_damaged
41,cust_1011,True,Sun Jun 30 00:00:00 +0000 2024,"@BrandHelp product 308573 stopped working after 2 days, really disappointed",42,,product_defect_damaged
42,BrandHelp,False,Sun Jun 30 00:15:00 +0000 2024,"Thanks for flagging this, we'd like to help. Please DM your order # and account email. ^AR",,41,product_defect_damaged
43,cust_1012,True,Tue Jan 30 05:00:00 +0000 2024,@BrandHelp where is my package? tracking says 7 days late and no updates smh,44,,order_status_delivery
44,BrandHelp,False,Tue Jan 30 05:15:00 +0000 2024,"Hi there, sorry to hear that! Please DM us your order number and email on file so we can look into this. ^JS",45,43,order_status_delivery
45,cust_1012,True,Tue Jan 30 05:25:00 +0000 2024,"DMd you, order # is 480612",46,44,order_status_delivery
46,BrandHelp,False,Tue Jan 30 05:40:00 +0000 2024,"Thanks for the info! We checked and your order is out for delivery today, tracking has been updated. ^JS",,45,order_status_delivery
47,cust_1013,True,Wed Mar 13 07:00:00 +0000 2024,@BrandHelp where is my package? tracking says 11 days late and no updates smh,48,,order_status_delivery
48,BrandHelp,False,Wed Mar 13 07:15:00 +0000 2024,We're sorry for the trouble! Send us a DM with your order # and we'll get this sorted right away. ^KM,,47,order_status_delivery
49,cust_1014,True,Mon Jan 22 20:00:00 +0000 2024,"@BrandHelp requested a refund on 804314 days ago and nothing, this is ridiculous 🙄",50,,refund_return
50,BrandHelp,False,Mon Jan 22 20:15:00 +0000 2024,That's not the experience we want for you. Can you DM your order number so we can investigate? ^KM,51,49,refund_return
51,cust_1014,True,Mon Jan 22 20:25:00 +0000 2024,"DMd you, order # is 804314",52,50,refund_return
52,BrandHelp,False,Mon Jan 22 20:40:00 +0000 2024,"We've processed your refund of $90.28 back to your original payment method, please allow 3-5 business days. ^KM",,51,refund_return
53,cust_1014,True,Mon Jan 22 22:00:00 +0000 2024,"@BrandHelp still no response after 5 days, I want a manager to call me NOW about 804314",,,refund_return
54,cust_1015,True,Tue Sep 03 21:00:00 +0000 2024,site is down for anyone else or just me? @BrandHelp,55,,app_website_technical
55,BrandHelp,False,Tue Sep 03 21:15:00 +0000 2024,"Thanks for flagging this, we'd like to help. Please DM your order # and account email. ^TL",,54,app_website_technical
56,cust_1016,True,Sat Jun 08 09:00:00 +0000 2024,"@BrandHelp the item from order #526833 arrived broken, whole box was crushed",57,,product_defect_damaged
57,BrandHelp,False,Sat Jun 08 09:15:00 +0000 2024,"Hi there, sorry to hear that! Please DM us your order number and email on file so we can look into this. ^JS",,56,product_defect_damaged
58,cust_1017,True,Tue Mar 05 22:00:00 +0000 2024,@BrandHelp love the product but the whole ordering experience was a mess 🙄,59,,general_complaint_other
59,BrandHelp,False,Tue Mar 05 22:15:00 +0000 2024,We're sorry for the trouble! Send us a DM with your order # and we'll get this sorted right away. ^KM,60,58,general_complaint_other
60,cust_1017,True,Tue Mar 05 22:25:00 +0000 2024,"DMd you, order # is 203198",61,59,general_complaint_other
61,BrandHelp,False,Tue Mar 05 22:40:00 +0000 2024,"We're really sorry to hear this and have shared your feedback with the team, we'd love another chance to make it right. ^KM",,60,general_complaint_other
62,cust_1018,True,Sat Jan 06 00:00:00 +0000 2024,"@BrandHelp refund for #179046 never came through, checked my bank twice",63,,refund_return
63,BrandHelp,False,Sat Jan 06 00:15:00 +0000 2024,That's not the experience we want for you. Can you DM your order number so we can investigate? ^KM,,62,refund_return
64,cust_1019,True,Tue Jun 04 07:00:00 +0000 2024,"@BrandHelp the item from order #324130 arrived broken, whole box was crushed",65,,product_defect_damaged
65,BrandHelp,False,Tue Jun 04 07:15:00 +0000 2024,"Thanks for flagging this, we'd like to help. Please DM your order # and account email. ^TL",66,64,product_defect_damaged
66,cust_1019,True,Tue Jun 04 07:25:00 +0000 2024,"DMd you, order # is 324130",67,65,product_defect_damaged
67,BrandHelp,False,Tue Jun 04 07:40:00 +0000 2024,So sorry about that! We've shipped a free replacement and you can keep or discard the damaged item. ^TL,,66,product_defect_damaged
68,cust_1020,True,Thu Jun 20 15:00:00 +0000 2024,"@BrandHelp customer service on the phone was so rude today, unacceptable",69,,general_complaint_other
69,BrandHelp,False,Thu Jun 20 15:15:00 +0000 2024,"Hi there, sorry to hear that! Please DM us your order number and email on file so we can look into this. ^KM",,68,general_complaint_other
70,cust_1020,True,Thu Jun 20 17:00:00 +0000 2024,"@BrandHelp still no response after 5 days, I want a manager to call me NOW about 707314",,,general_complaint_other
71,cust_1021,True,Sun Jan 14 13:00:00 +0000 2024,"@BrandHelp can't log into my account, keeps saying invalid password even after reset",72,,account_login_access
72,BrandHelp,False,Sun Jan 14 13:15:00 +0000 2024,We're sorry for the trouble! Send us a DM with your order # and we'll get this sorted right away. ^TL,73,71,account_login_access
73,cust_1021,True,Sun Jan 14 13:25:00 +0000 2024,"DMd you, order # is 346629",74,72,account_login_access
74,BrandHelp,False,Sun Jan 14 13:40:00 +0000 2024,"We've manually reset your account access, please try logging in again and let us know if it persists. ^TL",,73,account_login_access
75,cust_1022,True,Fri Apr 12 09:00:00 +0000 2024,"@BrandHelp requested a refund on 373432 days ago and nothing, this is ridiculous",76,,refund_return
76,BrandHelp,False,Fri Apr 12 09:15:00 +0000 2024,That's not the experience we want for you. Can you DM your order number so we can investigate? ^JS,77,75,refund_return
77,cust_1022,True,Fri Apr 12 09:25:00 +0000 2024,"DMd you, order # is 373432",78,76,refund_return
78,BrandHelp,False,Fri Apr 12 09:40:00 +0000 2024,"We've processed your refund of $16.58 back to your original payment method, please allow 3-5 business days. ^JS",,77,refund_return
79,cust_1023,True,Wed Jan 24 11:00:00 +0000 2024,why is there a charge on my card from BrandHelp i don't recognize? order #204837?,80,,billing_charge_dispute
80,BrandHelp,False,Wed Jan 24 11:15:00 +0000 2024,"Thanks for flagging this, we'd like to help. Please DM your order # and account email. ^AR",,79,billing_charge_dispute
81,cust_1024,True,Wed Jan 03 16:00:00 +0000 2024,"@BrandHelp product 669605 stopped working after 2 days, really disappointed",82,,product_defect_damaged
82,BrandHelp,False,Wed Jan 03 16:15:00 +0000 2024,"Hi there, sorry to hear that! Please DM us your order number and email on file so we can look into this. ^AR",83,81,product_defect_damaged
83,cust_1024,True,Wed Jan 03 16:25:00 +0000 2024,"DMd you, order # is 669605",84,82,product_defect_damaged
84,BrandHelp,False,Wed Jan 03 16:40:00 +0000 2024,So sorry about that! We've shipped a free replacement and you can keep or discard the damaged item. ^AR,,83,product_defect_damaged
85,cust_1025,True,Sat Apr 27 00:00:00 +0000 2024,why does BrandHelp tracking say delivered when i never got my order #221035 !!,86,,order_status_delivery
86,BrandHelp,False,Sat Apr 27 00:15:00 +0000 2024,We're sorry for the trouble! Send us a DM with your order # and we'll get this sorted right away. ^AR,87,85,order_status_delivery
87,cust_1025,True,Sat Apr 27 00:25:00 +0000 2024,"DMd you, order # is 221035",88,86,order_status_delivery
88,BrandHelp,False,Sat Apr 27 00:40:00 +0000 2024,"Thanks for the info! We checked and your order is out for delivery today, tracking has been updated. ^AR",,87,order_status_delivery
89,cust_1026,True,Wed Feb 14 15:00:00 +0000 2024,@BrandHelp love the product but the whole ordering experience was a mess,90,,general_complaint_other
90,BrandHelp,False,Wed Feb 14 15:15:00 +0000 2024,That's not the experience we want for you. Can you DM your order number so we can investigate? ^AR,91,89,general_complaint_other
91,cust_1026,True,Wed Feb 14 15:25:00 +0000 2024,"DMd you, order # is 153266",92,90,general_complaint_other
92,BrandHelp,False,Wed Feb 14 15:40:00 +0000 2024,"We're really sorry to hear this and have shared your feedback with the team, we'd love another chance to make it right. ^AR",,91,general_complaint_other
93,cust_1027,True,Fri Jul 05 05:00:00 +0000 2024,"@BrandHelp can't log into my account, keeps saying invalid password even after reset",94,,account_login_access
94,BrandHelp,False,Fri Jul 05 05:15:00 +0000 2024,"Thanks for flagging this, we'd like to help. Please DM your order # and account email. ^AR",95,93,account_login_access
95,cust_1027,True,Fri Jul 05 05:25:00 +0000 2024,"DMd you, order # is 688153",96,94,account_login_access
96,BrandHelp,False,Fri Jul 05 05:40:00 +0000 2024,"We've manually reset your account access, please try logging in again and let us know if it persists. ^AR",,95,account_login_access
97,cust_1028,True,Mon Feb 05 02:00:00 +0000 2024,hey BrandHelp my order #423232 still hasn't shipped its been 8 days??,98,,order_status_delivery
98,BrandHelp,False,Mon Feb 05 02:15:00 +0000 2024,"Hi there, sorry to hear that! Please DM us your order number and email on file so we can look into this. ^TL",99,97,order_status_delivery
99,cust_1028,True,Mon Feb 05 02:25:00 +0000 2024,"DMd you, order # is 423232",100,98,order_status_delivery
100,BrandHelp,False,Mon Feb 05 02:40:00 +0000 2024,"Thanks for the info! We checked and your order is out for delivery today, tracking has been updated. ^TL",,99,order_status_delivery
101,cust_1029,True,Mon May 20 12:00:00 +0000 2024,@BrandHelp love the product but the whole ordering experience was a mess,102,,general_complaint_other
102,BrandHelp,False,Mon May 20 12:15:00 +0000 2024,We're sorry for the trouble! Send us a DM with your order # and we'll get this sorted right away. ^KM,,101,general_complaint_other
103,cust_1030,True,Thu Jun 06 02:00:00 +0000 2024,"@BrandHelp can't log into my account, keeps saying invalid password even after reset",104,,account_login_access
104,BrandHelp,False,Thu Jun 06 02:15:00 +0000 2024,That's not the experience we want for you. Can you DM your order number so we can investigate? ^KM,105,103,account_login_access
105,cust_1030,True,Thu Jun 06 02:25:00 +0000 2024,"DMd you, order # is 213346",106,104,account_login_access
106,BrandHelp,False,Thu Jun 06 02:40:00 +0000 2024,"We've manually reset your account access, please try logging in again and let us know if it persists. ^KM",,105,account_login_access
107,cust_1031,True,Tue Jul 02 00:00:00 +0000 2024,"@BrandHelp requested a refund on 392136 days ago and nothing, this is ridiculous",108,,refund_return
108,BrandHelp,False,Tue Jul 02 00:15:00 +0000 2024,"Thanks for flagging this, we'd like to help. Please DM your order # and account email. ^JS",109,107,refund_return
109,cust_1031,True,Tue Jul 02 00:25:00 +0000 2024,"DMd you, order # is 392136",110,108,refund_return
110,BrandHelp,False,Tue Jul 02 00:40:00 +0000 2024,"We've processed your refund of $29.33 back to your original payment method, please allow 3-5 business days. ^JS",,109,refund_return
111,cust_1032,True,Tue May 28 22:00:00 +0000 2024,"@BrandHelp customer service on the phone was so rude today, unacceptable",112,,general_complaint_other
112,BrandHelp,False,Tue May 28 22:15:00 +0000 2024,"Hi there, sorry to hear that! Please DM us your order number and email on file so we can look into this. ^JS",113,111,general_complaint_other
113,cust_1032,True,Tue May 28 22:25:00 +0000 2024,"DMd you, order # is 378361",114,112,general_complaint_other
114,BrandHelp,False,Tue May 28 22:40:00 +0000 2024,"We're really sorry to hear this and have shared your feedback with the team, we'd love another chance to make it right. ^JS",,113,general_complaint_other
115,cust_1033,True,Fri Aug 16 21:00:00 +0000 2024,why does BrandHelp tracking say delivered when i never got my order #557239 !!,116,,order_status_delivery
116,BrandHelp,False,Fri Aug 16 21:15:00 +0000 2024,We're sorry for the trouble! Send us a DM with your order # and we'll get this sorted right away. ^TL,117,115,order_status_delivery
117,cust_1033,True,Fri Aug 16 21:25:00 +0000 2024,"DMd you, order # is 557239",118,116,order_status_delivery
118,BrandHelp,False,Fri Aug 16 21:40:00 +0000 2024,"Thanks for the info! We checked and your order is out for delivery today, tracking has been updated. ^TL",,117,order_status_delivery
119,cust_1034,True,Sun Aug 25 23:00:00 +0000 2024,"@BrandHelp billed me the wrong amount for #795612, can someone check this",120,,billing_charge_dispute
120,BrandHelp,False,Sun Aug 25 23:15:00 +0000 2024,That's not the experience we want for you. Can you DM your order number so we can investigate? ^KM,121,119,billing_charge_dispute
121,cust_1034,True,Sun Aug 25 23:25:00 +0000 2024,"DMd you, order # is 795612",122,120,billing_charge_dispute
122,BrandHelp,False,Sun Aug 25 23:40:00 +0000 2024,"We found the duplicate charge and issued a refund for $39.53, you should see it in 3-5 business days. ^KM",,121,billing_charge_dispute
123,cust_1035,True,Sat Apr 13 17:00:00 +0000 2024,"@BrandHelp refund for #884475 never came through, checked my bank twice",124,,refund_return
124,BrandHelp,False,Sat Apr 13 17:15:00 +0000 2024,"Thanks for flagging this, we'd like to help. Please DM your order # and account email. ^TL",125,123,refund_return
125,cust_1035,True,Sat Apr 13 17:25:00 +0000 2024,"DMd you, order # is 884475",126,124,refund_return
126,BrandHelp,False,Sat Apr 13 17:40:00 +0000 2024,"We've processed your refund of $115.74 back to your original payment method, please allow 3-5 business days. ^TL",,125,refund_return
127,cust_1036,True,Tue Feb 27 22:00:00 +0000 2024,"hi @BrandHelp can you help me start a return for order #563246, wrong size",128,,refund_return
128,BrandHelp,False,Tue Feb 27 22:15:00 +0000 2024,"Hi there, sorry to hear that! Please DM us your order number and email on file so we can look into this. ^AR",129,127,refund_return
129,cust_1036,True,Tue Feb 27 22:25:00 +0000 2024,"DMd you, order # is 563246",130,128,refund_return
130,BrandHelp,False,Tue Feb 27 22:40:00 +0000 2024,"We've processed your refund of $80.84 back to your original payment method, please allow 3-5 business days. ^AR",,129,refund_return
131,cust_1037,True,Tue Jun 11 04:00:00 +0000 2024,"@BrandHelp requested a refund on 958179 days ago and nothing, this is ridiculous 🙄",132,,refund_return
132,BrandHelp,False,Tue Jun 11 04:15:00 +0000 2024,We're sorry for the trouble! Send us a DM with your order # and we'll get this sorted right away. ^JS,133,131,refund_return
133,cust_1037,True,Tue Jun 11 04:25:00 +0000 2024,"DMd you, order # is 958179",134,132,refund_return
134,BrandHelp,False,Tue Jun 11 04:40:00 +0000 2024,"We've processed your refund of $73.53 back to your original payment method, please allow 3-5 business days. ^JS",,133,refund_return
135,cust_1038,True,Tue Jan 02 21:00:00 +0000 2024,"@BrandHelp unauthorized charge on my account, did not place order #853240",136,,billing_charge_dispute
136,BrandHelp,False,Tue Jan 02 21:15:00 +0000 2024,That's not the experience we want for you. Can you DM your order number so we can investigate? ^JS,,135,billing_charge_dispute
137,cust_1039,True,Sun Feb 11 10:00:00 +0000 2024,why does BrandHelp tracking say delivered when i never got my order #943170 !!,138,,order_status_delivery
138,BrandHelp,False,Sun Feb 11 10:15:00 +0000 2024,"Thanks for flagging this, we'd like to help. Please DM your order # and account email. ^TL",139,137,order_status_delivery
139,cust_1039,True,Sun Feb 11 10:25:00 +0000 2024,"DMd you, order # is 943170",140,138,order_status_delivery
140,BrandHelp,False,Sun Feb 11 10:40:00 +0000 2024,"Thanks for the info! We checked and your order is out for delivery today, tracking has been updated. ^TL",,139,order_status_delivery
141,cust_1040,True,Tue Jun 11 00:00:00 +0000 2024,"@BrandHelp unauthorized charge on my account, did not place order #891937",142,,billing_charge_dispute
142,BrandHelp,False,Tue Jun 11 00:15:00 +0000 2024,"Hi there, sorry to hear that! Please DM us your order number and email on file so we can look into this. ^KM",143,141,billing_charge_dispute
143,cust_1040,True,Tue Jun 11 00:25:00 +0000 2024,"DMd you, order # is 891937",144,142,billing_charge_dispute
144,BrandHelp,False,Tue Jun 11 00:40:00 +0000 2024,"We found the duplicate charge and issued a refund for $96.35, you should see it in 3-5 business days. ^KM",,143,billing_charge_dispute
145,cust_1041,True,Wed Apr 24 15:00:00 +0000 2024,"@BrandHelp product 757193 stopped working after 2 days, really disappointed",146,,product_defect_damaged
146,BrandHelp,False,Wed Apr 24 15:15:00 +0000 2024,We're sorry for the trouble! Send us a DM with your order # and we'll get this sorted right away. ^JS,147,145,product_defect_damaged
147,cust_1041,True,Wed Apr 24 15:25:00 +0000 2024,"DMd you, order # is 757193",148,146,product_defect_damaged
148,BrandHelp,False,Wed Apr 24 15:40:00 +0000 2024,So sorry about that! We've shipped a free replacement and you can keep or discard the damaged item. ^JS,,147,product_defect_damaged
149,cust_1042,True,Mon Jan 22 06:00:00 +0000 2024,"@BrandHelp can't log into my account, keeps saying invalid password even after reset",150,,account_login_access
150,BrandHelp,False,Mon Jan 22 06:15:00 +0000 2024,That's not the experience we want for you. Can you DM your order number so we can investigate? ^TL,151,149,account_login_access
151,cust_1042,True,Mon Jan 22 06:25:00 +0000 2024,"DMd you, order # is 840734",152,150,account_login_access
152,BrandHelp,False,Mon Jan 22 06:40:00 +0000 2024,"We've manually reset your account access, please try logging in again and let us know if it persists. ^TL",,151,account_login_access
153,cust_1043,True,Mon May 13 02:00:00 +0000 2024,@BrandHelp 2FA code never arrives so i can't access my account,154,,account_login_access
154,BrandHelp,False,Mon May 13 02:15:00 +0000 2024,"Thanks for flagging this, we'd like to help. Please DM your order # and account email. ^TL",,153,account_login_access
155,cust_1044,True,Sun May 12 17:00:00 +0000 2024,"hey @BrandHelp app won't let me sign in, tried resetting twice",156,,account_login_access
